PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
J0631+1036	58341.7	0.1	27.8	0.8	JBO
J0631+1036	58352.13	0.01	96.4	0.6	JBO
J0633+1746	50382	X	0.6	0	JBO
B0656+14	50197	8	0.6	0.4	JBO
B0656+14	51017	3	1.3	0.1	JBO
J0726-2612	56913	25	2.8	0.9	JBO
J0726-2612	58791	0.5	510	1.6	JBO
B0727-18	51422	1	1	0.5	JBO
B0727-18	52150	3	4	1	JBO
J0729-1448	52010	1	24.8	0.4	JBO
J0729-1448	54317.7	0.2	23	1	JBO
J0729-1448	54483.6	0.3	13	1	JBO
J0729-1448	54592	1	12	1	JBO
J0729-1448	54687	3	6676	9	JBO
J0729-1448	58266.6	0.9	3.8	0.4	JBO
J0738-4042	57359	5	0.36	0.04	JBO
B0740-28	47625	3	1.2	0.1	JBO
B0740-28	48331.7	0.3	1.2	0.1	JBO
B0740-28	51770	20	1	0.3	JBO
B0740-28	52028	2	3.7	0.2	JBO
B0740-28	53083	1	1.7	0.2	JBO
B0740-28	53467.7	0.3	1.8	0.1	JBO
B0740-28	55020.469	0.004	92	2	JBO
B0740-28	56725.2	0.2	2.4	0.1	JBO
B0756-15	49963	4	0.11	0.03	JBO
B0818-13	49927	20	0.035	0.002	JBO
B0818-13	58063	10	0.082	0.006	JBO
B0833-45	40280	4	2340	10	JBO
B0833-45	41192	8	2050	30	JBO
B0833-45	41312	4	12	2	JBO
B0833-45	42683	3	1990	10	JBO
B0833-45	43693	12	3060	60	JBO
B0833-45	44888.4	0.4	1145	3	JBO
B0833-45	45192	1	2050	10	JBO
B0833-45	46257.228	0.001	1601	1	JBO
B0833-45	47519.8036	0.0001	1805	1	JBO
B0833-45	48457.382	0.001	2715	2	JBO
B0833-45	48550	19	5.55	0.3	JBO
B0833-45	49559	0.2	835	2	JBO
B0833-45	49591.2	X	199	2	JBO
B0833-45	50369.345	0.002	2110	17	JBO
B0833-45	51457	99	38	4	JBO
B0833-45	51559.319	0.001	3085.72	0.04	JBO
B0833-45	53193	X	2100	0	JBO
B0833-45	53960	X	2620	0	JBO
B0833-45	56922	3	0.4	0	JBO
B0833-45	58515.5929	0.005	2501.2	0.32	JBO
B0833-45	59417.2108	X	1260	0	JBO
J0834-4159	53415	2	102.7	0.1	JBO
B0844-35	55679	5	0.62	0.04	JBO
B0853-33	54521	18	0.06	0.01	JBO
J0901-4624	57179	6	0.9	0.1	JBO
J0905-5127	49552	2	13.6	0.4	JBO
J0905-5127	52931	67	8.3	0.5	JBO
B0919+06	55152	8	1256.2	0.4	JBO
J0940-5428	55346	8	1573.9	1.1	JBO
J0940-5428	58322	16	1100.5	0.6	JBO
J1016-5857	52549	22	1622.6	0.5	JBO
J1016-5857	55041	30	1912	0.4	JBO
J1016-5857	56975	8	6.21	2.35	JBO
J1016-5857	55595	5	1464.4	1.1	JBO
J1019-5749	55595	10	1.33	0.4	JBO
J1019-5749	55981	10	377.8	0.4	JBO
J1023-5746	55043	8	3570	1	JBO
J1023-5746	56004	8	2822	4	JBO
J1023-5746	56647	8	3306	1	JBO
J1023-5746	57192	8	22	1	JBO
J1023-5746	57727	8	3784.9	0.9	JBO
J1023-5746	58202	17	2729	1	JBO
J1023-5746	58823	8	1681	0.4	JBO
J1028-5819	57881	14	2296.5	0.5	JBO
B1046-58	48944	2	19	2	JBO
B1046-58	49034	9	3000	10	JBO
B1046-58	50791.49	5	768	1	JBO
B1046-58	52733	37	1838.4	9	JBO
B1046-58	53673	0.8	28.5	0.4	JBO
B1046-58	54495	10	3043.1	0.2	JBO
1E_1048.1-5937	52386	2	2900	100	JBO
1E_1048.1-5937	54185.9	1	16300	200	JBO
J1048-5832	54495	4	3044.1	0.9	JBO
J1048-5832	56756	4	2963	4	JBO
J1052-5954	54526	22	6747.8	0.7	JBO
J1055-6028	57035	10	105.7	0.6	JBO
J1105-6107	50417	16	279.7	0.2	JBO
J1105-6107	50610	3	2	3	JBO
J1105-6107	51598	147	971.7	0.5	JBO
J1105-6107	54711	21	23	1	JBO
J1105-6107	55288	16	954.4	0.1	JBO
J1112-6103	51395	134	1825	25	JBO
J1112-6103	53337	30	1202	21	JBO
J1112-6103	55288	7	1793	1	JBO
J1112-6103	57922	6	1283	1	JBO
J1119-6127	51398	4	4.4	0.4	JBO
J1119-6127	53290	X	321	33	JBO
J1119-6127	54240	X	5419	794	JBO
J1119-6127	57597.5	0.5	5790	200	JBO
J1123-6259	49705.87	0.01	749	1	JBO
J1124-5916	55191	X	16	1	JBO
J1141-3322	50521.31	0.03	0.4	0.1	JBO
J1248-6344	56043	5	1.7	0.2	JBO
B1254-10	58645	144	3.017	0.019	JBO
B1259-63	50691	1	3.2	0.1	JBO
J1301-6305	51923	23	4630	17	JBO
J1301-6305	53383	12	2664	6	JBO
J1301-6305	55124	10	4169	3	JBO
J1301-6305	57718	6	658	3	JBO
J1320-5359	56354	10	10.5	0.1	JBO
J1320-5359	56737	14	246.8	0.1	JBO
B1325-43	43590	24	116	0	JBO
B1338-62	47989	21	1509	1	JBO
B1338-62	48453	12	23	7	JBO
B1338-62	48645	10	996	3	JBO
B1338-62	49134	22	13	13	JBO
B1338-62	49363	130	146	38	JBO
B1338-62	49523	17	37	35	JBO
B1338-62	49766	2	15	2	JBO
B1338-62	49904	16	31	1	JBO
B1338-62	50008	16	1648	3	JBO
B1338-62	50322	1	30	1	JBO
B1338-62	50529	1	23	1	JBO
B1338-62	50683	13	708	1	JBO
B1338-62	51144	11	170	1	JBO
B1338-62	51617	165	1121.5	0.8	JBO
B1338-62	52093	53	480	4	JBO
B1338-62	52250	16	454.5	0.7	JBO
B1338-62	52788	17	219.2	0.2	JBO
B1338-62	53232	10	277	3	JBO
B1338-62	53471	17	985	6	JBO
B1338-62	54128	16	194	0.8	JBO
B1338-62	54468	18	3078.2	0.3	JBO
B1338-62	54870	11	3066.7	0.3	JBO
B1338-62	55088	16	1579	2	JBO
B1338-62	55484	11	2.4	0.3	JBO
B1338-62	55835	7	329	0.4	JBO
B1338-62	56098	12	151.2	0.4	JBO
B1338-62	56386	5	96	1	JBO
B1338-62	56479	9	37	2	JBO
B1338-62	56602	12	1709.7	0.3	JBO
B1338-62	57357	9	28.7	0.7	JBO
B1338-62	57492	1	21.7	0.1	JBO
B1338-62	57647	13	706	1	JBO
B1338-62	57880	14	60	3	JBO
B1338-62	58178	15	0	0	JBO
B1338-62	58214	17	0	0	JBO
J1357-6429	52021	8	2428	1	JBO
J1357-6429	54803	17	1752	7	JBO
J1357-6429	55576	10	4860	3	JBO
J1357-6429	57795	22	2250	11	JBO
J1357-6429	58148	15	1930	5	JBO
J1406-6121	56193	10	143.5	1.6	JBO
J1410-6132	54652	19	272.6	0.5	JBO
J1412-6145	51868	10	7253	3	JBO
J1413-6141	51290	3	39	4	JBO
J1413-6141	51463	9	970	2	JBO
J1413-6141	51796.3	0.4	59.7	0.4	JBO
J1413-6141	52092	53	811	2	JBO
J1413-6141	52899.4	0.3	46.9	0.8	JBO
J1413-6141	53125	24	1410	5	JBO
J1413-6141	54286	18	2409.8	1.1	JBO
J1413-6141	55744	7	235	2	JBO
J1413-6141	56147	12	200	3	JBO
J1413-6141	56567	5	371	2	JBO
J1413-6141	56975	8	30	2	JBO
J1413-6141	57236	4	266	2	JBO
J1413-6141	57509	10	356	2	JBO
J1413-6141	57838	6	2137	2	JBO
J1420-6048	51600	77	1146.2	30	JBO
J1420-6048	52754	16	2019	13	JBO
J1420-6048	53725	9	1270	4	JBO
J1420-6048	54652	20	937.1	0.3	JBO
J1420-6048	55410	19	1346	0.2	JBO
J1420-6048	56267	6	1954.2	0.3	JBO
J1420-6048	57210	8	1210	2	JBO
B1449-64	54552	4	0.3	0.02	JBO
J1452-6036	55055.22	0.04	29	0.2	JBO
