PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
B1930+22	45989	400	629	9	JBO
B1930+22	46906	85	4427	7	JBO
B1930+22	50253	4	4472	1	JBO
J1931+1817	58392	3	8.4	0.5	JBO
J1931+1817	59018	1	29.23	0.26	JBO
B1935+25	52032	9	0.03	0.01	JBO
B1946-25	50056	2	0.09	0.01	JBO
B1951+32	51967	9	2.3	0.1	JBO
B1951+32	52385	11	0.7	0.1	JBO
B1951+32	52912	5	1.3	0.1	JBO
B1951+32	53305	6	0.5	0.1	JBO
B1951+32	54103.44	0.03	5.2	0.2	JBO
B1951+32	55328	3	1489.9	0.4	JBO
B1953+50	46964	2	0.04	0.01	JBO
B1953+50	49038	5	0.021	0.004	JBO
J1957+2831	52485	3	0.3	0.1	JBO
J1957+2831	52912	3	0.13	0.03	JBO
J1957+2831	54692.8	0.3	5.8	0.3	JBO
J1957+2831	56897.3	0.8	2.25	0.06	JBO
J2005-0020	55976	0.2	12.5	0.6	JBO
J2021+3651	52630.1	0.1	2587	2	JBO
J2021+3651	54177	25	745	6	JBO
J2021+3651	55110	2	2228.8	0.9	JBO
J2021+3651	57200	8	3069	2	JBO
J2021+3651	58668	114	1186.5	0.8	JBO
B2020+28	47409	2	0.13	0.02	JBO
B2021+51	58311	114	0.33	0.04	JBO
J2022+3842	54680	140	1900	0	JBO
B2027+37	56993.6	0.5	6.2	0.2	JBO
J2032+4127	55820	9	273.3	0.1	JBO
J2111+4606	55700	5	1091.5	1.4	JBO
J2111+4606	57562	15	3258	1	JBO
B2113+14	47989	6	0.26	0.04	JBO
B2217+47	55857.4	0.4	1.16	0.02	JBO
B2224+65	43072	40	1707	1	JBO
B2224+65	51900	X	0.14	0.03	JBO
B2224+65	52950	X	0.08	0.04	JBO
B2224+65	53434	13	0.2	0.1	JBO
B2224+65	54266	14	0.4	0.1	JBO
J2229+6114	53064	3	1139.3	0.3	JBO
J2229+6114	54110	1	327	4	JBO
J2229+6114	54781.54	0.03	4.5	0.2	JBO
J2229+6114	55134	2	198.4	0.6	JBO
J2229+6114	55601	4	1223.6	0.6	JBO
J2229+6114	56797	5	850	1	JBO
J2229+6114	58424	6	1047.1	0.9	JBO
J2229+6114	59262	6	283.9	1.1	JBO
B2255+58	49488.2	0.2	0.75	0.04	JBO
1E_2259+586	52443.9	0.2	4104	28	JBO
1E_2259+586	53750	X	30.8	3.5	JBO
1E_2259+586	54040	X	11167	0	JBO
1E_2259+586	54184.9032	X	880	3	JBO
1E_2259+586	54880	X	-14	1	JBO
B2323+63	53957	31	0.21	0.02	JBO
B2334+61	53642	13	20470	1	JBO
J2346-0609	57495	2	0.55	0.01	JBO
M82-X2	56685.8	X	20000	0	JBO
J0146+6145	51141	248	650	150	ATNF
J0146+6145	53809.18584	X	1630	350	ATNF
J0146+6145	55771.1906	X	4440	40	ATNF
J0625+10	55203	8	0.33	0.05	ATNF
J0625+10	57676	3	1.17	0.06	ATNF
B0906-49	58765.06	0.05	22.2	0.2	ATNF
J0954-5430	55444	16	0.67	0.06	ATNF
J1015-5719	56695	6	3232.3	0.6	ATNF
J1050-5953	52386	1.5	2910	9	ATNF
J1050-5953	54185.9	0.2	16300	200	ATNF
J1141-6545	54277	20	589	0.6	ATNF
B1317-53	56534	10	10.5	0.1	ATNF
B1317-53	56737	14	246.8	0.1	ATNF
J1422-6138	55310	X	9.045391	0.000001	ATNF
J1422-6138	55450	X	405.06403	0.00002	ATNF
J1522-5735	55250	X	-11.4	0.6	ATNF
B1558-50	54733	X	152	1	ATNF
J1636-2614	56458	6	0.688	0.025	ATNF
J1636-2614	56472	3	0.71	0.03	ATNF
B1642-03	40920	X	0.89	0.02	ATNF
B1642-03	41806	X	1.47	0.02	ATNF
B1642-03	43388	X	1.98	0.02	ATNF
B1642-03	45489	X	2.6	0.02	ATNF
B1642-03	48021	X	2.25	0.02	ATNF
B1642-03	50147	X	1.43	0.02	ATNF
B1642-03	51595	X	2.64	0.02	ATNF
J1703-4851	58543.1	0.3	19	1	ATNF
J1705-3950	58236	14	9331	5	ATNF
J1706-4434	57601	X	9.5	0.09	ATNF
J1708-4008	51444.6	X	550	20	ATNF
J1708-4008	52014.2	X	51141	330	ATNF
J1708-4008	53549	X	2707	99	ATNF
B1718-36	55283	3	2702.18	0.04	ATNF
J1822-1604	56756	X	230	10	ATNF
B1821-24A	51980	15	0.0095	0.0001	ATNF
J1841-0456	52464.01	X	15170	711	ATNF
J1841-0456	52997.05	X	2450	47	ATNF
J1841-0456	53823.97	X	1390	82	ATNF
J1841-0456	54304.1503	X	5500	4	ATNF
J1844-0346	56135	7	3450	11	ATNF
J1851-0029	54493	1	0.9	0.2	ATNF
J1852-0635	56086	8	1144.1	0.3	ATNF
J1906+0722	55063	6	4538	14	ATNF
J1910+1026	56500	2	78.4	0.8	ATNF
J1915+1150	56363	4	29.19	0.07	ATNF
J1939+2609	58880	2	0.333	0.003	ATNF
J1947+1957	55085.5	2.6	1.61	0.04	ATNF
J1954+2529	58780	9	0.61	0.05	ATNF
J2301+5852	52443.13	0.09	4240	110	ATNF
J2301+5852	54185.9129	X	16300	200	ATNF
J2301+5852	56035	2	-310	40	ATNF
J2301+5852	56125	2	260	50	ATNF
1E_2259+586	56035	2	-310	40	ATNF
1E_2259+586	56125	2	260	50	ATNF
B0833-45	55408.802	X	1902.4	0.5	ATNF
B0833-45	56555.871	X	3057	2	ATNF
B0833-45	57734.484991	0.000029	1439.8	0.5	ATNF
J1413-6205	54735	X	1700	1	ATNF
J2229+6114	56362	5	66	0.9	ATNF
