PSR name	Δν/ν (10-9)	Error (10-9)
B1338-62	1509	1
B1338-62	23	7
B1338-62	996	3
B1338-62	13	13
B1338-62	146	38
B1338-62	37	35
B1338-62	15	2
B1338-62	31	1
B1338-62	1648	3
B1338-62	30	1
B1338-62	23	1
B1338-62	708	1
B1338-62	170	1
B1338-62	1121.5	0.8
B1338-62	480	4
B1338-62	454.5	0.7
B1338-62	219.2	0.2
B1338-62	277	3
B1338-62	985	6
B1338-62	194	0.8
B1338-62	3078.2	0.3
B1338-62	3066.7	0.3
B1338-62	1579	2
B1338-62	2.4	0.3
B1338-62	329	0.4
B1338-62	151.2	0.4
B1338-62	96	1
B1338-62	37	2
B1338-62	1709.7	0.3
B1338-62	28.7	0.7
B1338-62	21.7	0.1
B1338-62	706	1
B1338-62	60	3
B1338-62	0	0
B1338-62	0	0
J1357-6429	2428	1
J1357-6429	1752	7
J1357-6429	4860	3
J1357-6429	2250	11
J1357-6429	1930	5
J1406-6121	143.5	1.6
J1410-6132	272.6	0.5
J1412-6145	7253	3
J1413-6141	39	4
J1413-6141	970	2
J1413-6141	59.7	0.4
J1413-6141	811	2
J1413-6141	46.9	0.8
J1413-6141	1410	5
J1413-6141	2409.8	1.1
J1413-6141	235	2
J1413-6141	200	3
J1413-6141	371	2
J1413-6141	30	2
J1413-6141	266	2
J1413-6141	356	2
J1413-6141	2137	2
J1420-6048	1146.2	30
J1420-6048	2019	13
J1420-6048	1270	4
J1420-6048	937.1	0.3
J1420-6048	1346	0.2
J1420-6048	1954.2	0.3
J1420-6048	1210	2
B1449-64	0.3	0.02
J1452-6036	29	0.2
J1452-6036	0.13	0.03
J1524-5625	2977	0.7
B1508+55	0.2	0.1
B1530+27	0.29	0.04
J1531-5610	2637	11
B1535-56	2793	1
B1610-50	6460	80
B1610-50	6242	37
B1610-50	4098	3
B1610-50	5949	9
J1617-5055	600	5
J1617-5055	334	3
J1617-5055	11	2
J1617-5055	68	2
J1617-5055	55	2
J1617-5055	2068	2
J1635-2614	0.71	0.03
B1641-45	191	1
B1641-45	803.6	0.1
B1641-45	1.61	0.04
B1641-45	717.4	0.3
B1643-43	885	5
B1643-43	8591	6
CXO_J164710.2-455216	65000	3000
J1650-4502	12767	2
J1702-4128	3090	1
J1702-4310	4810	104
J1702-4310	3129	4
B1702-19	0.4	0.1
B1702-19	0.28	0.03
B1702-19	0.3	0.03
B1702-19	0.18	0.05
J1705-3423	0.59	0.04
J1705-3423	0.57	0.04
J1705-3423	0.6	0.1
B1706-44	2057	2
B1706-44	1167	17
B1706-44	2872	26
B1706-44	2749.7	0.1
B1706-44	52.4	0.1
1RXS_J1708-4009	561	33
1RXS_J1708-4009	4202	44
1RXS_J1708-4009	308	44
1RXS_J1708-4009	572	66
1RXS_J1708-4009	2707	99
1RXS_J1708-4009	737	33
J1709-3950	9331	6
B1717-16	1.5	0.2
J1718-3825	1.94	0.03
J1718-3825	7.1	0.1
B1718-35	7.5	0.3
J1718-3718	33250	10
B1727-33	3033	8
B1727-33	3202	1
B1727-33	2254	1
B1727-33	5.9	0.5
B1727-47	137	1
B1727-47	4.4	0.2
B1727-47	126.4	0.3
B1727-47	2.7	0.1
B1727-47	6.4	0.3
B1727-47	3147.7	0.1
J1730-3353	68.9	0.7
J1734-3333	90	10
J1734-3333	24	1
B1736-29	3.3	0.2
B1737-30	421	4
B1737-30	31	5
B1737-30	7	4
B1737-30	26	2
B1737-30	600	1
B1737-30	10	1
B1737-30	659	7
B1737-30	48	10
B1737-30	16	2
B1737-30	17	1
B1737-30	169.7	0.2
B1737-30	10	1
B1737-30	6	1
B1737-30	442.5	0.3
B1737-30	1444	1
B1737-30	0.7	0.4
B1737-30	0.9	0.3
B1737-30	2	3
B1737-30	4	1
B1737-30	16	1
B1737-30	158	0.4
B1737-30	0.9	0.2
B1737-30	1.7	0.2
B1737-30	18.6	0.3
B1737-30	20.2	0.2
B1737-30	1850.9	0.3
B1737-30	0.8	0.2
B1737-30	45.9	0.3
B1737-30	3	0.2
B1737-30	5.2	0.3
B1737-30	2.3	0.2
B1737-30	2663	3
B1737-30	18.3	0.6
B1737-30	1.94	0.02
B1737-30	229.4	0.4
B1737-30	837.9	0.7
J1737-3102	18	1
J1737-3137	4	1
J1737-3137	234	1
J1737-3137	1342.4	0.2
J1737-3137	7	0.7
J1737-3137	4498	1
J1737-3137	1.53	0.07
B1740-31	2.2	0.4
J1740+1000	1.2	0.4
J1740+1000	2910.9	0.4
J1746-2856	24.4	0.4
J1751-3323	2.3	0.3
J1751-3323	3	1
J1751-3323	13	1
J1751-3323	3.4	0.8
B1754-24	7807	1
B1757-24	1987.9	0.3
B1757-24	1247.4	0.3
B1757-24	3755.8	0.4
B1757-24	17.4	0.2
B1757-24	3101	1
B1757-24	2413	0.4
B1757-24	2250.9	2.8
B1758-03	3.1	0.1
B1758-23	216.3	0.2
B1758-23	230.7	0.3
B1758-23	348	1
B1758-23	66	2
B1758-23	22	1
B1758-23	81	1
B1758-23	6	3
B1758-23	646.7	0.2
B1758-23	497	1
B1758-23	2.9	0.7
B1758-23	1.7	0.5
B1758-23	513.8	0.4
B1758-23	48.67	0.05
B1758-23	5	0.6
B1758-23	374	5
B1800-21	4074.4	0.3
B1800-21	7.1	0.2
B1800-21	3184	1
B1800-21	3929.3	0.4
B1800-21	4793	3
B1800-21	4960.6	1.3
J1806-2125	15773.1	12.3
J1809-0119	1.7	0.3
J1809-0119	3	0.4
B1809-173	1.5	0.2
B1809-173	14.8	0.2
B1809-173	1.4	0.1
J1809-1917	1625.1	0.3
J1809-2004	2	1
J1809-2004	48.67	0.05
J1813-1246	1166	0.4
J1814-1744	8	4
J1814-1744	10	2
J1814-1744	34	2
J1814-1744	3	1
J1814-1744	11	2
J1814-1744	17	1
J1814-1744	16	4
B1815-14	0.54	0.05
J1819-1458	725	3
J1819-1458	72	1
B1821-11	2877	0.2
J1821-1419	225	4
J1821-1419	109	7
J1821-1419	222.4	3
B1821-24	0.008	0.001
B1822-09	2.8	0.2
B1822-09	1.3	0.2
B1822-09	29.8	0.1
B1822-09	1.3	0.4
B1822-09	4	1
B1822-09	121	1
B1822-09	3.8	0.1
B1823-13	2746	1
B1823-13	2984.6	0.3
B1823-13	0.6	0.3
B1823-13	3	1
B1823-13	3581	1
B1823-13	2599.7	0.3
B1823-13	2481.5	1.1
B1824-10	0.4	0.1
B1828-11	6.3	0.5
B1830-08	0.9	0.1
B1830-08	1865.6	0.1
